Muscle,Origin,Insertion,Artery,Nerve,Action,Antagonist
Sphincter ani,Sphincter ani,Sphincter ani,Sphincter ani,Sphincter ani,Sphincter ani,Sphincter ani
externus,,,,S4 and twigs from inferior anal nerves of pudendal nerve,"keep the anal canal and anus closed, aids in the expulsion of the feces",
internus,,,,pudendal nerve,"keep the anal canal and anus closed, aids in the expulsion of the feces",
Superficial perineal pouch,Superficial perineal pouch,Superficial perineal pouch,Superficial perineal pouch,Superficial perineal pouch,Superficial perineal pouch,Superficial perineal pouch
transversus perinei superficialis,anterior part of ischial tuberosity,central point of perineum,,pudendal nerve,,
bulbospongiosus,median raphé,,perineal artery,pudendal nerve,"in males, empties the urethra; in females, clenches the vagina",
ischiocavernosus,,,perineal artery,pudendal nerve,assists the bulbospongiosus muscle,
Deep perineal pouch,Deep perineal pouch,Deep perineal pouch,Deep perineal pouch,Deep perineal pouch,Deep perineal pouch,Deep perineal pouch
transversus perinei profundus,inferior rami of the ischium,its fellow of the opposite side,pudendal nerve,,,
sphincter urethrae membranaceae,"junction of the inferior rami of the pubis and ischium to the extent of 1.25–2 cm., and from the neighboring fasciæ",its fellow of the opposite side,,"perineal branch of the pudendal nerve (S2, S3, S4)","Constricts urethra, maintain urinary continence",
